Source,Document,URL,Text,Date
BIS Working Papers,German unification and the demand for German M3,https://www.bis.org/publ/work21.pdf,,20-Sep-94
BIS Working Papers,The housing meltdown: Why did it happen in the United States?,https://www.bis.org/publ/work259.pdf,,18-Sep-08
BIS Working Papers,Big data and machine learning in central banking,https://www.bis.org/publ/work930.pdf,,04-Mar-21
BIS Working Papers,Recent RMB policy and currency co-movements,https://www.bis.org/publ/work727.pdf,,11-Jun-18
BIS Working Papers,Exchange rate risk and local currency sovereign bond yields in emerging markets,https://www.bis.org/publ/work474.pdf,,18-Dec-14
BIS Working Papers,The pricing of portfolio credit risk,https://www.bis.org/publ/work214.pdf,,15-Sep-06
BIS Working Papers,The response of short-term bank lending rates to policy rates: a cross-country perspective,https://www.bis.org/publ/work27.pdf,,21-May-95
BIS Working Papers,Trade linkages and the globalisation of inflation in Asia and the Pacific,https://www.bis.org/publ/work447.pdf,,14-Apr-14
BIS Working Papers,All the money in europe?' An investigation of the economic properties of EC-wide extended monetary aggregates,https://www.bis.org/publ/work19.pdf,,19-Oct-93
BIS Working Papers,The international dimensions of macroprudential policies,https://www.bis.org/publ/work643.pdf,,08-Jun-17
BIS Working Papers,Inflation expectations anchoring: new insights from micro evidence of a survey at high-frequency and of distributions,https://www.bis.org/publ/work809.pdf,,04-Sep-19
BIS Working Papers,Measuring bank competition in China: a comparison of new versus conventional approaches applied to loan markets,https://www.bis.org/publ/work422.pdf,,21-Aug-13
BIS Working Papers,The impact of macroprudential policies and their interaction with monetary policy: an empirical analysis using credit registry data,https://www.bis.org/publ/work636.pdf,,03-May-17
BIS Working Papers,The supply side of household finance,https://www.bis.org/publ/work531.pdf,,03-Dec-15
BIS Working Papers,Do small bank deposits run more than large ones? Three event studies of contagion and financial inclusion,https://www.bis.org/publ/work724.pdf,,16-May-18
BIS Working Papers,Can liquidity risk be subsumed in credit risk? A case study from Brady bond prices ,https://www.bis.org/publ/work101.pdf,,02-Jul-01
BIS Working Papers,The international propagation of the financial crisis of 2008 and a comparison with 1931,https://www.bis.org/publ/work348.pdf,,05-Jul-11
BIS Working Papers,To err is human: rating agencies and the interwar foreign government debt crisis,https://www.bis.org/publ/work335.pdf,,30-Dec-10
BIS Working Papers,How do credit ratings affect bank lending under capital constraints?,https://www.bis.org/publ/work747.pdf,,28-Sep-18
BIS Working Papers,Risk and liquidity in a system context,https://www.bis.org/publ/work212.pdf,,30-Aug-06
BIS Working Papers,Interpreting Euro area inflation at high and low frequencies,https://www.bis.org/publ/work195.pdf,,22-Feb-06
BIS Working Papers,Optimal bank leverage and recapitalization in crowded markets,https://www.bis.org/publ/work923.pdf,,22-Jan-21
BIS Working Papers,The digitalisation of money,https://www.bis.org/publ/work941.pdf,,19-May-21
BIS Working Papers,Is macroprudential policy instrument blunt?,https://www.bis.org/publ/work536.pdf,,14-Jan-16
BIS Working Papers,A Framework for Assessing the Systemic Risk of Major Financial Institutions,https://www.bis.org/publ/work281.pdf,,29-Apr-09
BIS Working Papers,Why so low for so long? A long-term view of real interest rates,https://www.bis.org/publ/work685.pdf,,19-Dec-17
BIS Working Papers,The 2001 US recession: what did recession prediction models tell us? ,https://www.bis.org/publ/work148.pdf,,01-Mar-04
BIS Working Papers,Illiquidity and all its friends,https://www.bis.org/publ/work303.pdf,,26-Mar-10
BIS Working Papers,Banks and financial intermediation in emerging Asia: reforms and new risks,https://www.bis.org/publ/work313.pdf,,11-Jun-10
BIS Working Papers,The currency composition of foreign exchange reserves,https://www.bis.org/publ/work828.pdf,,13-Dec-19
BIS Working Papers,Macro-financial linkages: the role of liquidity dependence,https://www.bis.org/publ/work716.pdf,,27-Apr-18
BIS Working Papers,Capital and currency-based macroprudential policies: an evaluation using credit registry data,https://www.bis.org/publ/work672.pdf,,17-Nov-17
BIS Working Papers,The interbank market during a crisis ,https://www.bis.org/publ/work99.pdf,,01-Jun-01
BIS Working Papers,What anchors for the natural rate of interest?,https://www.bis.org/publ/work777.pdf,,26-Mar-19
BIS Working Papers,The effectiveness of foreign exchange intervention in emerging market countries: evidence from the Czech koruna ,https://www.bis.org/publ/work172.pdf,,02-Mar-05
BIS Working Papers,Interbank interest rates and the risk premium ,https://www.bis.org/publ/work81.pdf,,03-Nov-99
BIS Working Papers,Monetary policy regimes and macroeconomic outcomes: Hong Kong and Singapore,https://www.bis.org/publ/work204.pdf,,17-Apr-06
BIS Working Papers,Demographic Origins of the Decline in Labor's Share,https://www.bis.org/publ/work874.pdf,,11-Aug-20
BIS Working Papers,The effects of a central bank's inflation forecasts on private sector forecasts: Recent evidence from Japan,https://www.bis.org/publ/work585.pdf,,23-Sep-16
BIS Working Papers,The bank lending channel revisited,https://www.bis.org/publ/work297.pdf,,24-Feb-10
BIS Working Papers,Modeling Time-Varying Uncertainty of Multiple-Horizon Forecast Errors,https://www.bis.org/publ/work667.pdf,,31-Oct-17
BIS Working Papers,Asset prices and banking distress: a macroeconomic approach ,https://www.bis.org/publ/work167.pdf,,03-Dec-04
BIS Working Papers,FX spot and swap market liquidity spillovers,https://www.bis.org/publ/work836.pdf,,13-Jan-20
BIS Working Papers,An empirical foundation for calibrating the G-SIB surcharge,https://www.bis.org/publ/work935.pdf,,31-Mar-21
BIS Working Papers,Evidence on the response of US banks to changes in capital requirements ,https://www.bis.org/publ/work88.pdf,,01-Jun-00
BIS Working Papers,Measuring the systemic importance of interconnected banks,https://www.bis.org/publ/work342.pdf,,10-Mar-11
BIS Working Papers,Recent fiscal policy in selected industrial countries ,https://www.bis.org/publ/work162.pdf,,02-Sep-04
BIS Working Papers,"Assessing the CNH-CNY pricing differential: role of fundamentals, contagion and policy",https://www.bis.org/publ/work492.pdf,,27-Feb-15
BIS Working Papers,Macroprudential Policies in a Commodity Exporting Economy,https://www.bis.org/publ/work506.pdf,,30-Jul-15
BIS Working Papers,External financing and economic activity in the euro area - why are bank loans special?,https://www.bis.org/publ/work622.pdf,,24-Mar-17
BIS Working Papers,"Financial crisis, US unconventional monetary policy and international spillovers",https://www.bis.org/publ/work494.pdf,,16-Mar-15
BIS Working Papers,The internationalization of domestic banks and the credit channel: an empirical assessment,https://www.bis.org/publ/work801.pdf,,31-Jul-19
BIS Working Papers,The negative interest rate policy and the yield curve,https://www.bis.org/publ/work703.pdf,,15-Feb-18
BIS Working Papers,Developing country economic structure and the pricing of syndicated credits ,https://www.bis.org/publ/work132.pdf,,01-Jul-03
BIS Working Papers,Macroprudential policy - a literature review,https://www.bis.org/publ/work337.pdf,,02-Feb-11
BIS Working Papers,The evolution of the external debt and balance of payments of eastern europe and the USSR since 1970,https://www.bis.org/publ/work7.pdf,,01-Nov-82
BIS Working Papers,Understanding the role of debt in the financial system,https://www.bis.org/publ/work479.pdf,,14-Jan-15
BIS Working Papers,Revisiting recent productivity developments across OECD countries,https://www.bis.org/publ/work182.pdf,,28-Sep-05
BIS Working Papers,Output gap uncertainty: does it matter for the Taylor rule? ,https://www.bis.org/publ/work60.pdf,,03-Nov-98
BIS Working Papers,Traditional and matter-of-fact financial frictions in a DSGE model for Brazil: the role of macroprudential instruments and monetary policy,https://www.bis.org/publ/work460.pdf,,09-Sep-14
BIS Working Papers,The impact of unconventional monetary policies on retail lending and deposit rates in the euro area,https://www.bis.org/publ/work850.pdf,,31-Mar-20
BIS Working Papers,Monetary policy and financial spillovers: losing traction?,https://www.bis.org/publ/work518.pdf,,06-Oct-15
BIS Working Papers,Interpreting TARGET2 balances,https://www.bis.org/publ/work393.pdf,,04-Dec-12
BIS Working Papers,Capital regulation and banks' financial decisions,https://www.bis.org/publ/work232.pdf,,26-Jul-07
BIS Working Papers,Monetary policy spillovers and currency networks in cross-border bank lending,https://www.bis.org/publ/work549.pdf,,17-Mar-16
BIS Working Papers,Reforming the international monetary system in the 1970s and 2000s: would an SDR substitution account have worked?,https://www.bis.org/publ/work444.pdf,,12-Mar-14
BIS Working Papers,Central bank swaps then and now: swaps and dollar liquidity in the 1960s,https://www.bis.org/publ/work851.pdf,,01-Apr-20
BIS Working Papers,Syndicated loans and CDS positioning,https://www.bis.org/publ/work679.pdf,,06-Dec-17
BIS Working Papers,Effectiveness of unconventional monetary policies in a low interest rate environment,https://www.bis.org/publ/work691.pdf,,19-Jan-18
BIS Working Papers,Estimating unknown arbitrage costs: evidence from a three-regime threshold vector error correction model,https://www.bis.org/publ/work689.pdf,,11-Jan-18
BIS Working Papers,The Great Depression as a credit boom gone wrong ,https://www.bis.org/publ/work137.pdf,,05-Sep-03
BIS Working Papers,Commercial bank failures during The Great Recession: the real (estate) story,https://www.bis.org/publ/work530.pdf,,30-Nov-15
BIS Working Papers,At the crossroads in the transition away from LIBOR - from overnight to term rates,https://www.bis.org/publ/work891.pdf,,09-Oct-20
BIS Working Papers,Mapping capital and liquidity requirements to bank lending spreads,https://www.bis.org/publ/work324.pdf,,19-Nov-10
BIS Working Papers,Global imbalances from a stock perspective. The asymmetry between creditors and debtors,https://www.bis.org/publ/work707.pdf,,14-Mar-18
BIS Working Papers,"Monetary policy spillovers, capital controls and exchange rate flexibility, and the financial channel of exchange rates",https://www.bis.org/publ/work797.pdf,,25-Jul-19
BIS Working Papers,How does international capital flow?,https://www.bis.org/publ/work890.pdf,,01-Oct-20
BIS Working Papers,The real effects of household debt in the short and long run,https://www.bis.org/publ/work607.pdf,,26-Jan-17
BIS Working Papers,Global real rates: a secular approach,https://www.bis.org/publ/work793.pdf,,04-Jul-19
BIS Working Papers,Systematic monetary policy and the forward premium puzzle,https://www.bis.org/publ/work396.pdf,,12-Dec-12
BIS Working Papers,The external balance of the smaller industrial countries: international developments and national policies since 1968,https://www.bis.org/publ/work11.pdf,,03-Nov-84
BIS Working Papers,The impact of CCPs' margin policies on repo markets,https://www.bis.org/publ/work515.pdf,,02-Oct-15
BIS Working Papers,Measuring financial cycle time,https://www.bis.org/publ/work755.pdf,,14-Nov-18
BIS Working Papers,The failure of covered interest parity: FX hedging demand and costly balance sheets,https://www.bis.org/publ/work590.pdf,,27-Oct-16
BIS Working Papers,Developing an underlying inflation gauge for China,https://www.bis.org/publ/work465.pdf,,25-Sep-14
BIS Working Papers,Macroeconomic and interest rate volatility under alternative monetary operating procedures,https://www.bis.org/publ/work319.pdf,,20-Sep-10
BIS Working Papers,Are speculative attacks triggered by sunspots? A new test,https://www.bis.org/publ/work166.pdf,,02-Dec-04
BIS Working Papers,Firm-specific risk-neutral distributions with options and CDS,https://www.bis.org/publ/work921.pdf,,19-Jan-21
BIS Working Papers,BASEL III: Long-term impact on economic performance and fluctuations,https://www.bis.org/publ/work338.pdf,,23-Feb-11
BIS Working Papers,Are banks opaque? Evidence from insider trading,https://www.bis.org/publ/work697.pdf,,01-Feb-18
BIS Working Papers,Do macroprudential policies affect non-bank financial intermediation?,https://www.bis.org/publ/work927.pdf,,11-Feb-21
BIS Working Papers,China's Shadow Banking: Bank's Shadow and Traditional Shadow Banking,https://www.bis.org/publ/work822.pdf,,08-Nov-19
BIS Working Papers,A survey of non-financial sector balance sheets in industrialised countries: implications for the monetary policy transmission mechanism,https://www.bis.org/publ/work25.pdf,,21-Apr-95
BIS Working Papers,Fintech and big tech credit: a new database,https://www.bis.org/publ/work887.pdf,,22-Sep-20
BIS Working Papers,The effects of tax on bank liability structure,https://www.bis.org/publ/work611.pdf,,23-Feb-17
BIS Working Papers,Liquidity risk and the credit Crunch of 2007-2008: evidence from micro-level data on mortgage loan applications,https://www.bis.org/publ/work473.pdf,,18-Dec-14
BIS Working Papers,Can non-interest rate policies stabilise housing markets? Evidence from a panel of 57 economies,https://www.bis.org/publ/work433.pdf,,15-Nov-13
BIS Working Papers,Is monetary policy less effective when interest rates are persistently low?,https://www.bis.org/publ/work628.pdf,,24-Apr-17
BIS Working Papers,China's evolving external wealth and rising creditor position,https://www.bis.org/publ/work286.pdf,,07-Jul-09
BIS Working Papers,Examining macroprudential policy and its macroeconomic effects - some new evidence,https://www.bis.org/publ/work825.pdf,,11-Dec-19
BIS Working Papers,The Social Value of Policy Signals,https://www.bis.org/publ/work386.pdf,,04-Sep-12
BIS Working Papers,"An equilibrum model of ""global imbalances"" and low interest rates",https://www.bis.org/publ/work222.pdf,,30-Dec-06
BIS Working Papers,Financial strains and the zero lower bound: the Japanese experience ,https://www.bis.org/publ/work141.pdf,,09-Sep-03
BIS Working Papers,"Cyclical macroeconomic policy, financial regulation and economic growth",https://www.bis.org/publ/work434.pdf,,20-Dec-13
BIS Working Papers,"Credit constraints, financial liberalisation and twin crises ",https://www.bis.org/publ/work124.pdf,,06-Jan-03
BIS Working Papers,Inflation targeting and financial stability: providing policymakers with relevant information,https://www.bis.org/publ/work503.pdf,,09-Jul-15
BIS Working Papers,Exchange rate appreciations and corporate risk taking,https://www.bis.org/publ/work710.pdf,,27-Mar-18
BIS Working Papers,Debt-deflation: concepts and a stylised model,https://www.bis.org/publ/work176.pdf,,03-Apr-05
BIS Working Papers,Bank business models: popularity and performance,https://www.bis.org/publ/work682.pdf,,14-Dec-17
BIS Working Papers,Firm-level R&D after periods of intense technological innovation: the role of investor sentiment,https://www.bis.org/publ/work916.pdf,,08-Jan-21
BIS Working Papers,Foreign exchange intervention and financial stability,https://www.bis.org/publ/work889.pdf,,30-Sep-20
BIS Working Papers,Residential investment and economic activity: evidence from the past five decades,https://www.bis.org/publ/work726.pdf,,06-Jun-18
BIS Working Papers,Accounting alchemy,https://www.bis.org/publ/work302.pdf,,26-Mar-10
BIS Working Papers,Understanding global liquidity,https://www.bis.org/publ/work402.pdf,,06-Feb-13
BIS Working Papers,Dealing with bank distress: Insights from a comprehensive database,https://www.bis.org/publ/work909.pdf,,14-Dec-20
BIS Working Papers,"Asset managers, eurodollars and unconventional monetary policy",https://www.bis.org/publ/work578.pdf,,29-Aug-16
BIS Working Papers,Measuring disagreement in UK consumer and central bank inflation forecasts,https://www.bis.org/publ/work339.pdf,,23-Feb-11
BIS Working Papers,Unintended consequences of unemployment insurance benefits: the role of banks,https://www.bis.org/publ/work795.pdf,,11-Jul-19
BIS Working Papers,The changing shape of fixed income markets ,https://www.bis.org/publ/work104.pdf,,01-Sep-01
BIS Working Papers,"The effects of intraday foreign exchange market operations in Latin America: results for Chile, Colombia, Mexico and Peru",https://www.bis.org/publ/work462.pdf,,09-Sep-14
BIS Working Papers,Commercial banks in the securities business: A review ,https://www.bis.org/publ/work56.pdf,,03-Jun-98
BIS Working Papers,"The dollar, bank leverage and real economic activity: an evolving relationship",https://www.bis.org/publ/work847.pdf,,17-Mar-20
BIS Working Papers,Decaying expectations: what inflation forecasts tell us about the anchoring of inflation expectations,https://www.bis.org/publ/work464.pdf,,25-Sep-14
BIS Working Papers,Non-monetary news in central bank communication,https://www.bis.org/publ/work761.pdf,,05-Dec-18
BIS Working Papers,Supply- and demand-side factors in global banking,https://www.bis.org/publ/work639.pdf,,19-May-17
BIS Working Papers,Central counterparty capitalization and misaligned incentives,https://www.bis.org/publ/work767.pdf,,11-Feb-19
BIS Working Papers,When is macroprudential policy effective?,https://www.bis.org/publ/work496.pdf,,24-Mar-15
BIS Working Papers,Monetary policy rules in emerging market economies: issues and evidence ,https://www.bis.org/publ/work149.pdf,,02-Mar-04
BIS Working Papers,Trade sentiment and the stock market: new evidence based on big data textual analysis of Chinese media,https://www.bis.org/publ/work917.pdf,,12-Jan-21
BIS Working Papers,Why have interest rates fallen far below the return on capital,https://www.bis.org/publ/work794.pdf,,09-Jul-19
BIS Working Papers,Family first? Nepotism and corporate investment,https://www.bis.org/publ/work693.pdf,,24-Jan-18
BIS Working Papers,Optimal dynamic hedging using futures under a borrowing constraint ,https://www.bis.org/publ/work109.pdf,,04-Jan-02
BIS Working Papers,The evolution and determinants of emerging markets credit spreads in the 1990s ,https://www.bis.org/publ/work68.pdf,,02-May-99
BIS Working Papers,Should banks be diversified? Evidence from individual bank loan portfolios,https://www.bis.org/publ/work118.pdf,,03-Sep-02
BIS Working Papers,Assessing fiscal policy through the lens of the financial and the commodity price cycles,https://www.bis.org/publ/work638.pdf,,17-May-17
BIS Working Papers,Data vs collateral,https://www.bis.org/publ/work881.pdf,,01-Sep-20
BIS Working Papers,"Rise of the central bank digital currencies: drivers, approaches and technologies",https://www.bis.org/publ/work880.pdf,,24-Aug-20
BIS Working Papers,Capital flows and the current account: Taking financing (more) seriously,https://www.bis.org/publ/work525.pdf,,20-Oct-15
BIS Working Papers,Answering the Queen: Machine learning and financial crises,https://www.bis.org/publ/work926.pdf,,01-Feb-21
BIS Working Papers,Why do firms issue abroad? Lessons from onshore and offshore corporate bond finance in Asian emerging markets,https://www.bis.org/publ/work401.pdf,,18-Dec-12
BIS Working Papers,Oil shocks and optimal monetary policy,https://www.bis.org/publ/work307.pdf,,15-Apr-10
BIS Working Papers,Assessing the systemic risk of a heterogeneous portfolio of banks during the recent financial crisis,https://www.bis.org/publ/work296.pdf,,22-Jan-10
BIS Working Papers,Over-the-counter market liquidity and securities lending,https://www.bis.org/publ/work768.pdf,,19-Feb-19
BIS Working Papers,The financial turmoil of 2007-?: a preliminary assessment and some policy considerations,https://www.bis.org/publ/work251.pdf,,31-Mar-08
BIS Working Papers,The euro as a reserve currency: a challenge to the pre-eminence of the US dollar?,https://www.bis.org/publ/work218.pdf,,12-Oct-06
BIS Working Papers,Credit booms: implications for the public and the private sector,https://www.bis.org/publ/work481.pdf,,16-Jan-15
BIS Working Papers,Bank capital regulation in contemporary banking theory: a review of the literature ,https://www.bis.org/publ/work90.pdf,,01-Sep-00
BIS Working Papers,Currency depreciation and emerging market corporate distress,https://www.bis.org/publ/work753.pdf,,23-Oct-18
BIS Working Papers,Higher profits and lower capital prices: is factor allocation optimal? ,https://www.bis.org/publ/work65.pdf,,01-Apr-99
BIS Working Papers,Business cycles in an oil economy,https://www.bis.org/publ/work618.pdf,,23-Mar-17
BIS Working Papers,Banking industry dynamics and size-dependent capital regulation,https://www.bis.org/publ/work599.pdf,,21-Dec-16
BIS Working Papers,A survey of the international use of yen,https://www.bis.org/publ/work6.pdf,,01-Jul-82
BIS Working Papers,Bank intermediation activity in a low interest rate environment,https://www.bis.org/publ/work807.pdf,,30-Aug-19
BIS Working Papers,Pass-through of exchange rates and import prices to domestic inflation in some industrialised economies ,https://www.bis.org/publ/work79.pdf,,01-Nov-99
BIS Working Papers,Demographics will reverse three multi-decade global trends,https://www.bis.org/publ/work656.pdf,,07-Aug-17
BIS Working Papers,Back to the future? Assessing the deflation record ,https://www.bis.org/publ/work152.pdf,,05-Mar-04
BIS Working Papers,Bank loan supply during crises: the importance of geographic diversification,https://www.bis.org/publ/work827.pdf,,11-Dec-19
BIS Working Papers,Spanned stochastic volatility in bond markets: a reexamination of the relative pricing between bonds and bond options,https://www.bis.org/publ/work239.pdf,,11-Dec-07
BIS Working Papers,Financial asset prices and monetary policy: theory and evidence,https://www.bis.org/publ/work47.pdf,,02-Sep-97
BIS Working Papers,Characterising the financial cycle: don't lose sight of the medium term!,https://www.bis.org/publ/work380.pdf,,13-Jun-12
BIS Working Papers,Global inflation forecasts,https://www.bis.org/publ/work582.pdf,,20-Sep-16
BIS Working Papers,New information and inflation expectations among firms,https://www.bis.org/publ/work781.pdf,,18-Apr-19
BIS Working Papers,The pricing of unexpected credit losses,https://www.bis.org/publ/work190.pdf,,22-Nov-05
BIS Working Papers,"Trading volumes, volatility and spreads in foreign exchange markets: evidence from emerging market countries ",https://www.bis.org/publ/work93.pdf,,03-Oct-00
BIS Working Papers,"Risk-on/risk-off, capital flows, leverage and safe assets",https://www.bis.org/publ/work382.pdf,,25-Jul-12
BIS Working Papers,Challenges in macro-finance modeling,https://www.bis.org/publ/work240.pdf,,11-Dec-07
BIS Working Papers,Banking crises and the international monetary system in the Great Depression and now,https://www.bis.org/publ/work333.pdf,,03-Dec-10
BIS Working Papers,"Stochastic Volatility, Long Run Risks, and Aggregate Stock Market Fluctuations",https://www.bis.org/publ/work323.pdf,,26-Oct-10
BIS Working Papers,Liquidity regulation and the implementation of monetary policy,https://www.bis.org/publ/work432.pdf,,10-Oct-13
BIS Working Papers,Reserve currency allocation: an alternative methodology ,https://www.bis.org/publ/work72.pdf,,01-Aug-99
BIS Working Papers,"Information, liquidity and risk in the international interbank market: implicit guarantees and private credit market failure ",https://www.bis.org/publ/work86.pdf,,01-Mar-00
BIS Working Papers,Optimal supervisory policies and depositor-preference laws ,https://www.bis.org/publ/work131.pdf,,01-Mar-03
BIS Working Papers,Bank ties and bond market access: evidence on investment-cash flow sensitivity in Japan ,https://www.bis.org/publ/work151.pdf,,04-Mar-04
BIS Working Papers,Housing finance agencies in Asia,https://www.bis.org/publ/work241.pdf,,31-Dec-07
BIS Working Papers,Why issue bonds offshore?,https://www.bis.org/publ/work334.pdf,,10-Dec-10
BIS Working Papers,International currency substitution and the apparent instability of velocity in some western European economies and in the United States,https://www.bis.org/publ/work2.pdf,,18-Apr-80
BIS Working Papers,Effects of capital controls on foreign exchange liquidity,https://www.bis.org/publ/work659.pdf,,31-Aug-17
BIS Working Papers,Inside the regulatory sandbox: effects on fintech funding,https://www.bis.org/publ/work901.pdf,,09-Nov-20
BIS Working Papers,Living with flexible exchange rates: issues and recent experience in inflation targeting emerging market economies,https://www.bis.org/publ/work130.pdf,,05-Feb-03
BIS Working Papers,The determinants of long-term debt issuance by European banks: evidence of two crises,https://www.bis.org/publ/work513.pdf,,01-Oct-15
BIS Working Papers,The steady-state budget constraint and the integration of european financial markets: an arithmetical exercise,https://www.bis.org/publ/work14.pdf,,02-Sep-90
BIS Working Papers,Are changes in financial structure extending safety nets? ,https://www.bis.org/publ/work145.pdf,,04-Jan-04
BIS Working Papers,Liquidity in Government versus Covered Bond Markets,https://www.bis.org/publ/work392.pdf,,23-Nov-12
BIS Working Papers,How important is the Global Financial Cycle? Evidence from capital flows,https://www.bis.org/publ/work661.pdf,,31-Aug-17
BIS Working Papers,Output gaps and policy stabilisation in Latin America: the effect of commodity and capital flow cycles,https://www.bis.org/publ/work568.pdf,,13-Jun-16
BIS Working Papers,Bank competition and credit booms,https://www.bis.org/publ/work488.pdf,,11-Feb-15
Bank of Lithuania - Legislation,Republic of Lithuania Law on Financial Institutions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/525bc4b1fbe111e993cb8c8daaf8ff8a?positionInSearchResults=0&searchModelUUID=9de3e219-22fa-4615-9898-2e5ec62060e4,,10/09/2002
Bank of Lithuania - Legislation,Republic of Lithuania Law on the Accumulation of Occupational Pensions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/5afe98f0231c11e6acbed8d454428fb7?positionInSearchResults=0&searchModelUUID=295af906-0fa5-4726-bc2e-b9f939487ee2,,04/07/2006
Bank of Lithuania - Legislation,Republic of Lithuania Law on Cooperative Societies (Cooperatives),https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/1ca8ead0f4aa11e8b5e8d681eb86525b?jfwid=-w4wfqbjyo,,01/06/1993
Bank of Lithuania - Legislation,Republic of Lithuania Law on the Supplementary Supervision of Entities in a Financial Conglomerate,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.257447?positionInSearchResults=0&searchModelUUID=8a4b4f26-d640-4faa-99d8-46db68d47637,,15/07/2004
Bank of Lithuania - Legislation,Republic of Lithuania Law on the Supplementary Voluntary Accumulation of Pensions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.224990?positionInSearchResults=0&searchModelUUID=6796bd6e-c6f9-4bbc-a1a1-4d54cd1ed92b,,03/06/1999
Luxembourg CSSF,Electronic transmission of documents to the CSSF,https://www.cssf.lu/wp-content/uploads/Transmission_electronique_des_documents__PRIIPs_KID_.pdf,,Published on 06.07.2017
Luxembourg CSSF,Circular CSSF 15/605,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf15_605.pdf,,Published on 20.02.2015
Luxembourg CSSF,Ministerial Regulation of 9 January 2012,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_090112_mes_restr.pdf,,Published on 09.01.2012
Luxembourg CSSF,ESMA Public Statement “Implications of the COVID-19 outbreak on the half-yearly financial reports”,https://www.esma.europa.eu/sites/default/files/library/esma32-63-972_public_statement_on_half-yearly_financial_reports_in_relation_to_covid-19.pdf,,Published on 20.05.2020
Luxembourg CSSF,CSSF Regulation No 18-04 of 25 June 2018 (only in French),http://legilux.public.lu/eli/etat/leg/rcsf/2018/06/25/a554/jo,,Published on 25.06.2018
Luxembourg CSSF,Directive 2014/56/EU of the European Parliament and of the Council of 16 April 2014,http://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32014L0056&from=EN,,Published on 16.04.2014
Luxembourg CSSF,Circular CSSF 10/458,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Blanchiment_terrorisme/cssf10_458.pdf,,Published on 11.05.2010
Luxembourg CSSF,Commission Delegated Regulation (EU) No 310/2012 of 21 December 2011,http://eur-lex.europa.eu/legal-content/FR/TXT/?uri=uriserv:OJ.L_.2012.103.01.0011.01.FRA&toc=OJ:L:2012:103:TOC,,Published on 21.12.2011
Luxembourg CSSF,Circular CSSF 15/612,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf15_612.pdf,,Published on 05.05.2015
Luxembourg CSSF,Circular CSSF 17/674,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_674.pdf,,Published on 01.12.2017
Luxembourg CSSF,Ministerial Regulation of 3 November 2015,https://www.cssf.lu/wp-content/uploads/files/LBC_FT/ONU_RM/RMIN_031115_mes_restr.pdf,,Published on 03.11.2015
Luxembourg CSSF,UN designation of 12 March 2012 – SC/10577,https://www.un.org/press/en/2012/sc10577.doc.htm,,Published on 12.03.2012
Luxembourg CSSF,UN update of 3 October 2012 – SC/10782,https://www.un.org/press/en/2012/sc10782.doc.htm,,Published on 03.10.2012
Luxembourg CSSF,Circular CSSF 17/653,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf17_653.pdf,,Published on 14.03.2017
Luxembourg CSSF,Grand-ducal Regulation of 14 August 2020 (only in  French),http://data.legilux.public.lu/file/eli-etat-leg-rgd-2020-08-14-a694-jo-fr-pdf.pdf,,Published on 24.08.2020
Luxembourg CSSF,Regulation (EU) 2017/2402 of the European Parliament and of the Council of 12 December 2017,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32017R2402&from=FR,,Published on 12.12.2017
Luxembourg CSSF,Commission Delegated Regulation (EU) 2017/571 of 2 June 2016 (RTS 13),http://eur-lex.europa.eu/legal-content/FR/ALL/?uri=CELEX:32017R0571&qid=1523599998556,,Published on 02.06.2016
Luxembourg CSSF,ESMA Guidelines on the application C6 and C7 of Annex I of MiFID II,https://www.esma.europa.eu/sites/default/files/library/esma-70-156-869_guidelines_on_c6_c7_application_of_mifid_ii_annex_1.pdf,,Published on 05.06.2019
Luxembourg CSSF,UN designation of 4 February 2020 – SC/14097,https://www.un.org/press/fr/2020/sc14097.doc.htm,,Published on 04.02.2020
Luxembourg CSSF,Grand-ducal Regulation of 18 December 2009 (coordinated version),https://www.cssf.lu/wp-content/uploads/RGD_181209_reconnaissance_prestataires.pdf,,Updated on 20.06.2017
Luxembourg CSSF,Regulation (EU) 2021/168 of the European Parliament and of the Council of 10 February 2021,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:32021R0168&from=FR,,Published on 12.02.2021
Luxembourg CSSF,Circular CSSF 19/720,https://www.cssf.lu/wp-content/uploads/files/Lois_reglements/Circulaires/Hors_blanchiment_terrorisme/cssf19_720eng.pdf,,Published on 14.06.2019
