,Source,Document,URL,Text,Date
88,Australia AUSTRAC,Work with AUSTRAC,,"At AUSTRAC our people are our strength. Every day our people use their intellect, skills, experience, initiative and the latest technologies to help protect Australians and Australia’s financial system from serious and organised crime.  We offer you a challenging and rewarding career with meaningful work. Wherever you work at AUSTRAC, you will make an impact.  We recognise performance and teamwork in our fight against financial crime. We are committed to helping our people develop their career – that way when you join AUSTRAC, you become part of our success story.  See our current vacancies.  Who we are looking for  Our ideal candidates are motivated, agile and resilient and bring their ‘whole self’ to work, supporting colleagues to do the same.  We are committed to creating an inclusive working environment that values the contribution and experience of employees from a diversity of backgrounds. We encourage applications from Aboriginal and Torres Strait Islander people, those with diverse linguistic and cultural backgrounds, those who identify as LGBTI+, and those with a disability.  For tips on applying for APS jobs, see the Australian Public Service Commission’s Cracking the Code guide.  AUSTRAC has three main divisions:  Regulation, Education and Policy – regulates, educates and communicates with our reporting entities to help them meet their legal anti-money laundering and counter-terrorism financing (AML/CTF) obligations Intelligence – develops and shares financial intelligence to stop financial crime and build capacity with partners Capability and Strategy – creates and drives the workforce strategy and organisational culture that supports and enables our people and processes to function seamlessly. Employer of Choice  AUSTRAC has been recognised as an Employer of Choice through the Australian Business Awards in 2020. The Australian Business Awards is an annual awards program that recognises organisations that demonstrate the core values of business innovation, product innovation, technological achievement and employee engagement via a set of comprehensive award categories.  This award acknowledges the achievements of AUSTRAC staff and their continued dedication and efforts in driving and supporting our culture and performance. As an organisation, we remain committed to putting our people first in everything we do.  Benefits and conditions Competitive APS salaries with access to annual salary progression 15.4% superannuation, which continues through paid maternity leave Generous leave conditions Discounted health insurance and novated car leasing Internal and external mobility opportunities, including temporary higher duties Study assistance - up to $4,000 per annum and up to 120 hours of study leave Opportunity for overseas deployments and work on special projects and taskforces Recognition programs - AUSTRAC CEO Commendation Award, Making a Difference awards, Australia Day Achievement Medallion and the Public Service Medal  View the AUSTRAC Enterprise Agreement (PDF, 1.361 MB) for more information about current salaries and other conditions of employment.  Find out how to apply for jobs with us.  AUSTRAC salary rates and salary points  Classification level    From 29 March 2020    From 29 September 2021     APS Level 3    63,148  64,093  65,034  65,977  66,920  67,862  68,804    64,411  65,375  66,335  67,297  68,258  69,219  70,180     APS Level 4    69,748  70,689  72,103  73,518  74,459  75,874  77,289    71,143  72,103  73,545  74,988  75,948  77,391  78,835     APS Level 5    78,231  79,172  80,115  81,058  81,999  82,943  83,886  85,772    79,796  80,755  81,717  82,679  83,639  84,602  85,564  87,487     APS Level 6    87,655  89,540  91,426  93,310  95,197  97,529  99,859    89,408  91,331  93,255  95,176  97,101  99,480  101,856     Executive Level 1    107,122  108,755  110,567  112,380  114,646  116,910  118,725  121,949    109,264  110,930  112,778  114,628  116,939  119,248  121,100  124,388     Executive Level 2    124,859  128,184  131,011  133,839  137,611  140,439  143,265  147,521    127,356  130,748  133,631  136,516  140,363  143,248  146,130  150,471  Lifestyle and wellbeing AUSTRAC has had a long term commitment to work-life balance through flexible work arrangements such as part-time work, job sharing, condensed working hours and home-based work, flexible working hours and access to flex-time Up to 16 weeks paid parental leave and two weeks paid supporting partner leave, in addition to government provided schemes Free parking for women in their third trimester of pregnancy A confidential coaching, counselling and support for employees and their immediate family members Free flu vaccinations, health checks, online health programs and other wellbeing initiatives Paid and unpaid leave for community volunteering and blood donation Reasonable workplace adjustments to support employees with illness or injury. AUSTRAC’s response to COVID-19  Like all workplaces, AUSTRAC had to rapidly respond to COVID-19 in 2020. Our well-established flexible work framework already included home-based work arrangements, which enabled almost out entire workforce to quickly transition to working from home. In fact, AUSTRAC was the first APS Agency to have all staff working remotely.  Many staff are currently working from home full-time, while others have started returning to the office on a part-time basis on agreed days. Arrangements are based on location, operational requirements and personal circumstances.  In the coming months, we will be updating our flexible work policy to adapt to a COVID normal environment and beyond, while fostering a high performance culture and supporting employee wellbeing.  Decisions in relation to COVID-19 are guided by our Pandemic Plan, which responds to different scenarios and takes into account local and state health directions and advice. This will continue to ensure we can continue our work without interruption while keeping staff safe.  Our culture ",30 March 2021
89,Australia AUSTRAC,Digital currency exchange provider registration actions,,"Any business that provides digital currency (cryptocurrency) exchange (DCE) services must be registered with AUSTRAC. We can refuse an application, and can also suspend, cancel or refuse to renew a registration if we think a business or organisation poses an unacceptable risk of money laundering, terrorism financing, or other serious crime. We can also impose conditions on registration if we identify an unacceptable risk in a business or organisation, or its operation. We can publish the names of the DCE service providers who are the subject of such decisions, and we may choose to publish the notice. We can also revoke a decision.  Find out more about obligations for digital currency exchange service providers. Find out more about the consequences of not complying.   Cancellation of registration      Date of decision   Entity legal name   ACN/ABN      23 December 2020 Peak Trading Group Pty Ltd  ACN: 627 704 090 ABN: 21 627 704 090    30 October 2020 DIGITAL NEXUS PTY LTD  ACN: 639 317 356 ABN: 75 639 317 356    2 March 2020  CRYPTOCURRENCY TRANSACTION MACHINES PTY LTD  ACN: 624 790 352 ABN: 69 624 790 352    23 September 2019   WEBPARK PTY. LTD.   ACN: 155 731 981 ABN: 82 155 731 981     9 September 2019   AUSCOIN ATM PTY LTD   ACN: 623 032 879 ABN: 26 623 032 879     9 September 2019   A.C.N. 625 238 735 PTY LTD   ACN: 625 238 735 ABN: 75 625 238 735      Suspension of registration  Nil.  Refusal of registration      Date of decision   Entity legal name   ACN/ABN       13 February 2019   JWON1 PTY LTD   ACN: 629 408 340 ABN: 22 629 408 340     17 December 2018   EASY BITCOIN TRADING PTY LTD   ACN: 628 929 304 ABN: 30 628 929 304     4 January 2019   THE GOLD BUYING COMPANY PTY. LTD.   ACN: 153 540 482 ABN: 83 153 540 482     Refusal to renew registration Nil.  ",17 May 2021
90,Australia AUSTRAC,AUSTRAC Contact Centre,,"AUSTRAC is Australia’s financial intelligence unit and its anti-money laundering and counter-terrorism financing regulator.  What we can and can’t help you with  Before you take the time to contact us, here’s what we can and can’t assist you with.  We can help with:  questions about your anti-money laundering/counter-terrorism financing obligations questions about AUSTRAC.  We can’t help you with:  tax enquiries – contact the Australian Taxation Office (ATO) complaints about financial service providers making sure financial services providers meet their other legal obligations complaints about scams. If you believe you have been scammed, contact Scamwatch or your local police. For online or email scams, contact the Australian Cybercrime Online Reporting Network. Contact details  Phone: 1300 021 037 (local call cost within Australia)  Submit your query online  You can find and submit the form here.  Hours of operation  Monday to Friday 8:30am to 5:00pm Australian Eastern Daylight Time (or AEDT) excluding national public holidays.  Deliveries and direct enquiries  If you have a delivery or need to speak with someone specific at AUSTRAC, please call the person directly. ",18 May 2021
91,Australia AUSTRAC,Privacy Impact Assessment Register,, AUSTRAC’s Privacy Impact Assessment (PIA) Register is published pursuant to section 15(1) of the Australian Government Agencies Privacy Code.      Reference   Date Posted   Title                   ,17 May 2021
92,Australia AUSTRAC,International partners,,"As new and developing technologies make moving money around the world faster and easier, organised crime has been quick to take advantage of these opportunities. To combat money laundering, terrorism financing and other serious financial crime threats, a powerful global response is needed. AUSTRAC makes a significant contribution to international efforts by:  exchanging information and intelligence with other AML/CTF financial intelligence units and regulators around the world playing an active role in international AML/CTF organisations supporting international partners through technical assistance and training. Sharing information and intelligence  To combat money laundering and terrorism financing across borders, AUSTRAC shares information and intelligence with AML/CTF financial intelligence units (FIUs) and regulators around the world.  We negotiate written agreements (exchange instruments) with a foreign jurisdiction or organisation. These agreements set out the framework for how we will exchange information with foreign jurisdictions or organisations. You can see a list of exchange instruments.  Visit programs – bringing specialists together  AUSTRAC coordinates and customises international visit programs that bring together international analysts and financial intelligence specialists. We organise these visits to:  build relationships between countries share technical assistance and training initiatives exchange information.  Each visit is different. They can last for a few hours or up to a week and can include presentations from partner agencies, or technical forums presented by the visiting party.  The nature of these visits depends on operational requirements and the exchange instruments in place.  International memberships  We play an active role in international organisations that work to combat money laundering, terrorism financing and other financial crime.  Financial Action Task Force (FATF). A global group that fights money laundering, terrorism financing and misuse of and threats to the international financial system using legal, regulatory and operational measures. Its members are governments across the world. AUSTRAC is a member of FATF and we participate in several working groups and initiatives. Egmont Group of Financial Intelligence Units. A united body made of up of financial intelligence units (FIUs) from more than 160 countries around the world, the Egmont group enables cooperation among FIUs. AUSTRAC is a founding member and lead Commonwealth agency. Asia/Pacific Group on Money Laundering (APG). The APG is a FATF-style regional body for the Asia-Pacific region. Australia is a founding member of the APG and permanent co-chair of the group. AUSTRAC coordinates Australia's whole-of-government engagement with the APG.  We have observer status at:  Middle East and North Africa Financial Action Task Force (MENAFATF) Eastern and Southern Africa Anti-Money Laundering Group (ESAAMLG) Support through technical assistance and training (TA&T)  We deliver technical assistance and training (TA&T) programs to our neighbours’ financial intelligence units and regulators to help them develop stronger AML/CTF capabilities. Our TA&T programs are designed to help:  strengthen skills improve governance increase compliance with international standards.  These programs contribute to regional security and help them achieve sustainable development. We work with recipients through:  mentoring and capacity building workshops in their country workshops and conferences in their country ongoing off-site mentoring and IT assistance.  Examples of our TA&T programs include:  supporting Papua New Guinea’s Effective Anti-Money Laundering and Counter Terrorism Financing Reform (SPEAR) – improving the capacity of PNG’s Financial Analysis and Supervision Unit (their local FIU) to track and combat money laundering and terrorism financing Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK)-AUSTRAC Partnership Program (PAPP) in Indonesia – an anti-money laundering/counter terrorism financing partnership and capacity-building program to strengthen the skills and governance frameworks of PPATK, Indonesia's FIU, and other stakeholders Anti-Money Laundering Council (AMLC)-AUSTRAC Partnership Program (AAPP) in the Philippines – mentoring and training for IT and analyst staff, staff exchanges to improve compliance and regulation, and assistance with FATF Mutual Evaluation preparations. Activities 25th Egmont Plenary 2018  The Egmont Group was formed in 1995. It is an increasing network of financial intelligence units. It provides a forum to exchange expertise and financial intelligence to combat money laundering and terrorism financing.  AUSTRAC hosted the 25th Egmont Plenary in Sydney from 23 to 28 September 2018. The theme was public private partnerships (PPPs) and how both sectors can work together to fight financial crime. We gave presentations on the Fintel Alliance and the Financial Intelligence Analyst Course (FIAC).  The Plenary event, for the heads of financial intelligence units from around the world, involved:  six days of meetings 419 delegates from 120 countries over 40 official meetings (including AUSTRAC bilateral and Egmont meetings) 50+ Memorandums of Understanding (MOUs) signed across Egmont Group members. Counter Terrorism Financing Summit  The first Counter Terrorism Financing (CTF) Summit was held in Sydney in November 2015. Co-founded by AUSTRAC and the Indonesian FIU PPATK, the Summit is a leading example of countries cooperating to understand and respond to terrorism financing and other significant financial threats.  The Summit is attended by heads of financial intelligence units and senior representatives from regulatory, law enforcement, national security and policy agencies. There are also delegates from industry and academia.  2019 CTF Summit, Manila  The 5th regional CTF Summit took place in Manila in November 2019, and was co-hosted by AUSTRAC, PPATK and the Philippines FIU Anti-Money Laundering Council. The theme of the Summit was ‘Together United - Strengthening Our Region’.  Learn more about the 2019 CTF Summit and its outcomes:  Manila Communique Regional threat assessment: on laundering of corruption proceeds (PDF, 1.19 MB) Media release: Countering terrorist financing and victim-based crime in South East Asia 2018 CTF Summit, Bangkok  We were a partner in the 4th regional CTF Summit in Bangkok in November 2018. The summit was hosted by Thailand’s FIU, the Anti-Money Laundering Office, in partnership with Indonesia’s FIU PPATK and AUSTRAC.  The outcomes of the 2018 summit included:  the Bangkok Communique (PDF, 602KB), a roadmap for regional collaboration the Non-profit organisations & terrorism financing red flag indicators 2018 report (PDF, 2.3MB) that details the warning signs for non-profit organisations at high risk of misuse for terrorism financing a secure information-sharing platform prototype an international intelligence analyst exchange ‘hubbing’ exercise. Financial Intelligence Consultative Group 2019  The Financial Intelligence Consultative Group (FICG) is the operational arm of the CTF Summit, consisting of the heads of intelligence from ASEAN, Australia and New Zealand. It is co-chaired by Australia and Indonesia.  Key outcomes of the FICG to date include:  the first regional risk assessment on terrorism financing assessment of not-for-profit organisations and cross-border movement of currency not-for-profit organisations’ red flag indicators’ paper, and an international FIU Codeathon.  The FICG facilitates the South East Asia Counter Terrorism Financing Working Group (SEA CTFWG), which was established to provide practical mechanisms for regional FIUs to progress strategic priorities, coordinate and operational work to combat regional terrorism financing, especially linked to ISIL affiliate organisations.  ASEAN-Australia Codeathon ",7 April 2021
93,Bank of Lithuania - Legislation,Republic of Lithuania Law on Crowdfunding,https://www.lb.lt/uploads/documents/docs/21260_6db7d27ff7c119ec8da05c7a5f53c40c.docx,,03-11-2016
94,Bank of Lithuania - Legislation,Republic of Lithuania Law on Management Companies of Collective Investment Undertakings Intended for Professional Investors,https://www.lb.lt/uploads/documents/docs/21259_969dfaa441bb67f62eec63e2bb3a3152.docx,,18-12-2014
95,Bank of Lithuania - Legislation,Republic of Lithuania Law on Currency Exchange Operators,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/3dad6862483511e68f45bcf65e0a17ee?jfwid=-brx0ubvku,,17-07-2014
96,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Euro Adoption in the Republic of Lithuania,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/c0c22033d44011e39bf688e133d06adf?positionInSearchResults=0&searchModelUUID=b1b2f6cb-0ba8-478f-a6e4-dccbe8173023,,17-04-2014
97,Bank of Lithuania - Legislation,Republic of Lithuania Law on Collective Investment Undertakings Intended for Informed Investors,https://www.lb.lt/uploads/documents/docs/21256_5c77fff2165e77b4c3b3ad84b1224e8c.docx,,18-06-2013
98,Bank of Lithuania - Legislation,Republic of Lithuania Law on Electronic Money and Electronic Money Institutions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/573b9080166911eaad00dac7ebcb2435?jfwid=-mjdvmy43y,,22-12-2011
99,Bank of Lithuania - Legislation,Republic of Lithuania Law on Consumer Credit,https://www.lb.lt/uploads/documents/docs/21261_eb3e4329e8ba8db8fa7de2ea1ea1b2d2.docx,,23-12-2010
100,Bank of Lithuania - Legislation,Republic of Lithuania Law on Payment Institutions,https://www.lb.lt/uploads/documents/docs/20596_63f6f4bc363db17e66bfe63e82ea2783.doc,,10-12-2009
101,Bank of Lithuania - Legislation,Republic of Lithuania Law on Securities,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/11ef1d803cfb11e68f278e2f1841c088?positionInSearchResults=0&searchModelUUID=295af906-0fa5-4726-bc2e-b9f939487ee2,,18-01-2007
102,Bank of Lithuania - Legislation,Republic of Lithuania Law on Markets in Financial Instruments,https://www.lb.lt/uploads/documents/docs/21254_3a85fe568da7dff185b1b2a7eefa1d53.docx,,18-01-2007
103,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Accumulation of Occupational Pensions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/5afe98f0231c11e6acbed8d454428fb7?positionInSearchResults=0&searchModelUUID=295af906-0fa5-4726-bc2e-b9f939487ee2,,04-07-2006
104,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Supplementary Supervision of Entities in a Financial Conglomerate,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.257447?positionInSearchResults=0&searchModelUUID=8a4b4f26-d640-4faa-99d8-46db68d47637,,15-07-2004
105,Bank of Lithuania - Legislation,Republic of Lithuania Law on Banks,https://www.lb.lt/uploads/documents/docs/21253_6d745b158d1324e86d8ce7f9a66a7205.docx,,30-03-2004
106,Bank of Lithuania - Legislation,Republic of Lithuania Law on Insurance,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/256642c2efd811e3abf5c17841df37a3?positionInSearchResults=0&searchModelUUID=115cb861-419a-4c0f-ac7a-48437bb61f81,,18-09-2003
107,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Accumulation of Pensions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/e0b5d20232f411e6a222b0cd86c2adfc?positionInSearchResults=1&searchModelUUID=295af906-0fa5-4726-bc2e-b9f939487ee2,,04-07-2003
108,Bank of Lithuania - Legislation,Republic of Lithuania Law on Collective Investment Undertakings,https://www.lb.lt/uploads/documents/docs/21257_836386eb1ef63805a98a4d93333cf54d.docx,,04-07-2003
109,Bank of Lithuania - Legislation,Republic of Lithuania Law on Settlement Finality in Payment and Securities Settlement Systems ,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.276063?positionInSearchResults=0&searchModelUUID=6796bd6e-c6f9-4bbc-a1a1-4d54cd1ed92b,,05-06-2003
110,Bank of Lithuania - Legislation,Republic of Lithuania Law on Financial Institutions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/525bc4b1fbe111e993cb8c8daaf8ff8a?positionInSearchResults=0&searchModelUUID=9de3e219-22fa-4615-9898-2e5ec62060e4,,10-09-2002
111,Bank of Lithuania - Legislation,Republic of Lithuania Law on Insurance of Deposits and Liabilities to Investors,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/3be66a52490111e68f45bcf65e0a17ee?positionInSearchResults=0&searchModelUUID=8a4b4f26-d640-4faa-99d8-46db68d47637,,20-06-2002
112,Bank of Lithuania - Legislation,Republic of Lithuania Law on Companies,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/2af0c0d049b811e68f45bcf65e0a17ee?positionInSearchResults=0&searchModelUUID=b1b2f6cb-0ba8-478f-a6e4-dccbe8173023,,13-07-2000
113,Bank of Lithuania - Legislation,Republic of Lithuania Law on Payments,https://www.lb.lt/uploads/documents/docs/20597_bbc429cdb6808b12a6e814545393484e.doc,,28-10-1999
114,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Supplementary Voluntary Accumulation of Pensions,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.224990?positionInSearchResults=0&searchModelUUID=6796bd6e-c6f9-4bbc-a1a1-4d54cd1ed92b,,03-06-1999
115,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Prevention of Money Laundering and Terrorist Financing,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/26a9f270fb6511e796a2c6c63add27e9?jfwid=-fa58hyzi7,,19-06-1997
116,Bank of Lithuania - Legislation,Republic of Lithuania Law on Credit Unions,https://www.lb.lt/uploads/documents/docs/21258_4b668e65c34dc84eb3096b3ee0b2c78d.docx,,21-02-1995
117,Bank of Lithuania - Legislation,Republic of Lithuania Law on the Bank of Lithuania,https://www.lb.lt/uploads/documents/docs/21262_93b02140926ad286fb0a0b2fb4f6642c.docx,,01-12-1994
118,Bank of Lithuania - Legislation,Republic of Lithuania Law on Cooperative Societies (Cooperatives),https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/1ca8ead0f4aa11e8b5e8d681eb86525b?jfwid=-w4wfqbjyo,,01-06-1993
119,Bank of Lithuania - Legislation,Constitution of the Republic of Lithuania,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.275302?positionInSearchResults=4&searchModelUUID=b1b2f6cb-0ba8-478f-a6e4-dccbe8173023,,25-10-1992
120,BIS Working Papers,FX policy when financial markets are imperfect,https://www.bis.org/publ/work942.pdf,,19 May 2021
121,BIS Working Papers,The digitalisation of money,https://www.bis.org/publ/work941.pdf,,19 May 2021
122,BIS Working Papers,Monetary-fiscal crosswinds in the European Monetary Union,https://www.bis.org/publ/work940.pdf,,19 May 2021
123,BIS Working Papers,The constraint on public debt when r < g but g < m,https://www.bis.org/publ/work939.pdf,,19 May 2021
124,BIS Working Papers,CCP Auction Design,https://www.bis.org/publ/work938.pdf,,14 May 2021
125,BIS Working Papers,"Growth, coal and carbon emissions: economic overheating and climate change",https://www.bis.org/publ/work937.pdf,,22 April 2021
126,BIS Working Papers,The anchoring of long-term inflation expectations of consumers: insights from a new survey,https://www.bis.org/publ/work936.pdf,,21 April 2021
127,BIS Working Papers,An empirical foundation for calibrating the G-SIB surcharge,https://www.bis.org/publ/work935.pdf,,31 March 2021
128,BIS Working Papers,A global database on central banks' monetary responses to Covid-19,https://www.bis.org/publ/work934.pdf,,30 March 2021
129,BIS Working Papers,"Asset managers, market liquidity and bank regulation",https://www.bis.org/publ/work933.pdf,,24 March 2021
130,BIS Working Papers,Macroeconomic consequences of pandexit,https://www.bis.org/publ/work932.pdf,,15 March 2021
131,BIS Working Papers,The fintech gender gap,https://www.bis.org/publ/work931.pdf,,11 March 2021
132,BIS Working Papers,Big data and machine learning in central banking,https://www.bis.org/publ/work930.pdf,,04 March 2021
133,BIS Working Papers,Greening (runnable) brown assets with a liquidity backstop,https://www.bis.org/publ/work929.pdf,,03 March 2021
134,BIS Working Papers,Debt specialisation and diversification: International evidence,https://www.bis.org/publ/work928.pdf,,17 February 2021
135,BIS Working Papers,Do macroprudential policies affect non-bank financial intermediation?,https://www.bis.org/publ/work927.pdf,,11 February 2021
136,BIS Working Papers,Answering the Queen: Machine learning and financial crises,https://www.bis.org/publ/work926.pdf,,01 February 2021
137,BIS Working Papers,What 31 provinces reveal about growth in China,https://www.bis.org/publ/work925.pdf,,28 January 2021
138,BIS Working Papers,Permissioned distributed ledgers and the governance of money,https://www.bis.org/publ/work924.pdf,,27 January 2021
139,BIS Working Papers,Optimal bank leverage and recapitalization in crowded markets,https://www.bis.org/publ/work923.pdf,,22 January 2021
140,BIS Working Papers,Does regulation only bite the less profitable? Evidence from the too-big-to-fail reforms,https://www.bis.org/publ/work922.pdf,,20 January 2021
141,BIS Working Papers,Firm-specific risk-neutral distributions with options and CDS,https://www.bis.org/publ/work921.pdf,,19 January 2021
142,BIS Working Papers,Investing like conglomerates: is diversification a blessing or curse for China's local governments?,https://www.bis.org/publ/work920.pdf,,18 January 2021
143,BIS Working Papers,Understanding bank and non-bank credit cycles: a structural exploration,https://www.bis.org/publ/work919.pdf,,14 January 2021
144,BIS Working Papers,Sovereign credit and exchange rate risks: evidence from Asia-Pacific local currency bonds,https://www.bis.org/publ/work918.pdf,,13 January 2021
145,BIS Working Papers,Trade sentiment and the stock market: new evidence based on big data textual analysis of Chinese media,https://www.bis.org/publ/work917.pdf,,12 January 2021
146,BIS Working Papers,Firm-level R&D after periods of intense technological innovation: the role of investor sentiment,https://www.bis.org/publ/work916.pdf,,08 January 2021
147,BIS Working Papers,The globalisation of inflation in the European emerging countries,https://www.bis.org/publ/work915.pdf,,22 December 2020
148,BIS Working Papers,"Demographic shifts, macroprudential policies, and house prices",https://www.bis.org/publ/work914.pdf,,22 December 2020
149,BIS Working Papers,Forecasting expected and unexpected losses,https://www.bis.org/publ/work913.pdf,,21 December 2020
150,BIS Working Papers,"Regulatory capital, market capital and risk taking in international bank lending",https://www.bis.org/publ/work912.pdf,,18 December 2020
151,BIS Working Papers,Bilateral International Investments: the Big Sur?,https://www.bis.org/publ/work911.pdf,,17 December 2020
152,BIS Working Papers,Recessions and mortality: a global perspective,https://www.bis.org/publ/work910.pdf,,15 December 2020
153,BIS Working Papers,Dealing with bank distress: Insights from a comprehensive database,https://www.bis.org/publ/work909.pdf,,14 December 2020
154,BIS Working Papers,Contagion Accounting,https://www.bis.org/publ/work908.pdf,,11 December 2020
155,BIS Working Papers,Low price-to-book ratios and bank dividend payout policies,https://www.bis.org/publ/work907.pdf,,09 December 2020
156,BIS Working Papers,What share for gold? On the interaction of gold and foreign exchange reserve returns,https://www.bis.org/publ/work906.pdf,,26 November 2020
157,BIS Working Papers,"Stablecoins: risks, potential and regulation",https://www.bis.org/publ/work905.pdf,,24 November 2020
158,BIS Working Papers,"Housing booms, reallocation and productivity",https://www.bis.org/publ/work904.pdf,,23 November 2020
159,BIS Working Papers,Bargaining power and the Phillips curve: a micro-macro analysis,https://www.bis.org/publ/work903.pdf,,17 November 2020
160,BIS Working Papers,An early stablecoin? The Bank of Amsterdam and the governance of money,https://www.bis.org/publ/work902.pdf,,10 November 2020
161,BIS Working Papers,Inside the regulatory sandbox: effects on fintech funding,https://www.bis.org/publ/work901.pdf,,09 November 2020
162,BIS Working Papers,What can commercial property performance reveal about bank valuations?,https://www.bis.org/publ/work900.pdf,,09 November 2020
163,BIS Working Papers,The macro-financial effects of international bank lending on emerging markets,https://www.bis.org/publ/work899.pdf,,06 November 2020
164,BIS Working Papers,What Comes Next?,https://www.bis.org/publ/work898.pdf,,02 November 2020
165,BIS Working Papers,Non-US global banks and dollar (co-)dependence: how housing markets became internationally synchronized,https://www.bis.org/publ/work897.pdf,,29 October 2020
166,BIS Working Papers,Have the driving forces of inflation changed in advanced and emerging market economies?,https://www.bis.org/publ/work896.pdf,,28 October 2020
167,BIS Working Papers,"Pass-through from short-horizon to long-horizon inflation expectations, and the anchoring of inflation expectations",https://www.bis.org/publ/work895.pdf,,28 October 2020
168,BIS Working Papers,Effects of eligibility for central bank purchases on corporate bond spreads,https://www.bis.org/publ/work894.pdf,,22 October 2020
169,BIS Working Papers,Assessing the fiscal implications of banking crises,https://www.bis.org/publ/work893.pdf,,22 October 2020
170,BIS Working Papers,Banking across borders: Are Chinese banks different?,https://www.bis.org/publ/work892.pdf,,14 October 2020
171,BIS Working Papers,At the crossroads in the transition away from LIBOR - from overnight to term rates,https://www.bis.org/publ/work891.pdf,,09 October 2020
172,BIS Working Papers,How does international capital flow?,https://www.bis.org/publ/work890.pdf,,01 October 2020
173,BIS Working Papers,Foreign exchange intervention and financial stability,https://www.bis.org/publ/work889.pdf,,30 September 2020
174,BIS Working Papers,Competitive effects of IPOs: evidence from Chinese listing suspensions,https://www.bis.org/publ/work888.pdf,,23 September 2020
175,BIS Working Papers,Fintech and big tech credit: a new database,https://www.bis.org/publ/work887.pdf,,22 September 2020
176,BIS Working Papers,"Price search, consumption inequality, and expenditure inequality over the life-cycle",https://www.bis.org/publ/work886.pdf,,18 September 2020
177,BIS Working Papers,Credit supply driven boom-bust cycles,https://www.bis.org/publ/work885.pdf,,18 September 2020
178,BIS Working Papers,Retailer markup and exchange rate pass-through: Evidence from the Mexican CPI micro data,https://www.bis.org/publ/work884.pdf,,08 September 2020
179,BIS Working Papers,Inflation at risk in advanced and emerging market economies,https://www.bis.org/publ/work883.pdf,,04 September 2020
180,BIS Working Papers,Corporate zombies: Anatomy and life cycle,https://www.bis.org/publ/work882.pdf,,02 September 2020
181,BIS Working Papers,Data vs collateral,https://www.bis.org/publ/work881.pdf,,01 September 2020
182,BIS Working Papers,"Rise of the central bank digital currencies: drivers, approaches and technologies",https://www.bis.org/publ/work880.pdf,,24 August 2020
183,BIS Working Papers,Corporate dollar debt and depreciations: all's well that ends well?,https://www.bis.org/publ/work879.pdf,,24 August 2020
184,BIS Working Papers,Which credit gap is better at predicting financial crises? A comparison of univariate filters,https://www.bis.org/publ/work878.pdf,,12 August 2020
185,BIS Working Papers,Export survival and foreign financing,https://www.bis.org/publ/work877.pdf,,11 August 2020
186,BIS Working Papers,"Government Banks, Household Debt, and Economic Downturns: The Case of Brazil",https://www.bis.org/publ/work876.pdf,,11 August 2020
187,BIS Working Papers,The impact of credit risk mispricing on mortgage lending during the subprime boom,https://www.bis.org/publ/work875.pdf,,11 August 2020
188,BIS Working Papers,Demographic Origins of the Decline in Labor's Share,https://www.bis.org/publ/work874.pdf,,11 August 2020
189,BIS Working Papers,Effects of Fed policy rate forecasts on real yields and inflation expectations at the zero lower bound,https://www.bis.org/publ/work873.pdf,,21 July 2020
190,BIS Working Papers,Effects of credit restrictions in the Netherlands and lessons for macroprudential policy,https://www.bis.org/publ/work872.pdf,,20 July 2020
191,BIS Working Papers,"The Matthew effect and modern finance: on the nexus between wealth inequality, financial development and financial technology",https://www.bis.org/publ/work871.pdf,,06 July 2020
192,BIS Working Papers,International spillovers of forward guidance shocks,https://www.bis.org/publ/work870.pdf,,03 July 2020
193,BIS Working Papers,How well-anchored are long-term inflation expectations?,https://www.bis.org/publ/work869.pdf,,08 June 2020
194,BIS Working Papers,Debt De-risking,https://www.bis.org/publ/work868.pdf,,04 June 2020
195,BIS Working Papers,The effectiveness of macroprudential policies and capital controls against volatile capital inflows,https://www.bis.org/publ/work867.pdf,,02 June 2020
196,BIS Working Papers,Model risk at central counterparties: Is skin-in-the-game a game changer?,https://www.bis.org/publ/work866.pdf,,25 May 2020
197,BIS Working Papers,The drivers of cyber risk,https://www.bis.org/publ/work865.pdf,,20 May 2020
